In the console, type clear and hit Enter or Return. 

This will clear the console output. 

Run the file once while the tasks are short. 

Copy and paste the terminal results here.

(base) hajarsyria@HajarMacBookPro streaming-02-multiple-processes % /usr/local/bin/python3 "/Users/hajarsyria/Streaming Git/Streaming 02/streaming-02-multiple-processes/process_streaming_Hajar.py
"
2023-09-03 01:10:31,321 - INFO - ===============================================
2023-09-03 01:10:31,321 - INFO - Starting fake streaming process.
2023-09-03 01:12:46,506 - INFO - Sent: b'[Ladri di biciclette, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:12:49,509 - INFO - Sent: b'[Eternal Sunshine of the Spotless Mind, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:12:52,512 - INFO - Sent: b'[Vertigo, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:12:55,515 - INFO - Sent: b'[Lawrence of Arabia, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:12:58,518 - INFO - Sent: b'[Das Boot, 8.4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:01,523 - INFO - Sent: b'[La vita \xc3\xa8 bella, 8.6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:04,529 - INFO - Sent: b'[Hotaru no haka, 8.5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:07,534 - INFO - Sent: b'[Psycho, 8.5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:10,539 - INFO - Sent: b'[Smultronst\xc3\xa4llet, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:13,544 - INFO - Sent: b'[Raging Bull, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:16,545 - INFO - Sent: b'[Reservoir Dogs, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:19,547 - INFO - Sent: b'[Ran, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:22,550 - INFO - Sent: b'[Star Wars, 8.6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:25,552 - INFO - Sent: b'[The Lord of the Rings: The Fellowship of the Ring, 8.8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:28,553 - INFO - Sent: b'[Metropolis, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:31,559 - INFO - Sent: b'[Star Wars: Episode V - The Empire Strikes Back, 8.7]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:34,564 - INFO - Sent: b'[Monty Python and the Holy Grail, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:37,569 - INFO - Sent: b'[Amores perros, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:40,574 - INFO - Sent: b'[The Pianist, 8.5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:43,576 - INFO - Sent: b'[Donnie Darko, 8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:46,577 - INFO - Sent: b'[Once Upon a Time in America, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:49,579 - INFO - Sent: b'[American Beauty, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:52,582 - INFO - Sent: b'[Der Untergang, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:55,582 - INFO - Sent: b'[Django Unchained, 8.5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:13:58,586 - INFO - Sent: b'[L.A. Confidential, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:01,590 - INFO - Sent: b'[Blade Runner, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:04,591 - INFO - Sent: b'[Mononoke-hime, 8.3]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:07,592 - INFO - Sent: b'[The Shining, 8.4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:10,598 - INFO - Sent: b'[Inception, 8.8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:13,604 - INFO - Sent: b'[Rash\xc3\xb4mon, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:16,609 - INFO - Sent: b'[Tonari no Totoro, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:19,615 - INFO - Sent: b'[Trainspotting, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:22,620 - INFO - Sent: b'[The Treasure of the Sierra Madre, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:25,626 - INFO - Sent: b'[Redirected, 6.4]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:28,627 - INFO - Sent: b'[Casablanca, 8.5]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:31,633 - INFO - Sent: b'[All About Eve, 8.2]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:34,636 - INFO - Sent: b'[The Lord of the Rings: The Two Towers, 8.8]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:37,637 - INFO - Sent: b'[Seppuku, 8.6]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:40,643 - INFO - Sent: b'[The Big Lebowski, 8.1]' on port 9999. Hit CTRL-c to stop.
2023-09-03 01:14:43,649 - INFO - Sent: b'[The Apartment, 8.3]' on port 9999. Hit CTRL-c to stop.
